Id,EncuestaId,TipoNovedad,FotoPath,Descripcion,CantidadDefectuosa
--,----------,-----------,--------,-----------,------------------
14,9,Impresión lavada,NULL,,1000
15,9,Rasgado de despique,NULL,,0
16,10,Impresión lavada,C:\Users\Desarrollo3\Desktop\Software-Tablets\ProduccionUnificado\backend\wwwroot\fotos-calidad\10_20251230115228_89e06cf995fe4e258529701a5fe360db.jpg,,5000
17,11,Sin hallazgos,NULL,,0
18,12,Sin diligenciar documentos,C:\Users\Desarrollo3\Desktop\Software-Tablets\ProduccionUnificado\backend\wwwroot\fotos-calidad\12_20251230131118_ea1883cd5a4e4206ab1e443c1c4c6c7a.jpg,,0

(5 rows affected)
